,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
1347,Developing,69.9,22.0,52.3,0.1,95.0,95.0,1286.56511,0.789,15.0
1121,Developing,65.4,246.0,35.7,1.1,88.0,79.0,946.599372,0.602,10.9
2607,Developing,66.6,165.0,15.1,0.1,72.0,78.0,757.3114436,0.599,12.1
788,Developing,76.0,121.0,52.8,0.1,87.0,87.0,674.9829,0.725,13.4
1866,Developing,73.2,154.0,5.2,0.1,98.0,99.0,1526.497938,0.614,11.4
1788,Developing,64.5,217.0,17.6,0.6,86.0,84.0,41.451,0.484,8.1
2449,Developing,73.7,146.0,17.9,0.1,98.0,98.0,1644.816372,0.725,13.2
1163,Developed,73.4,177.0,59.3,0.1,99.0,99.0,11398.76584,0.802,15.2
849,Developing,52.7,336.0,18.3,1.9,34.0,41.0,172.68491,0.0,0.0
21,Developing,76.2,91.0,54.3,0.1,99.0,99.0,494.358832,0.725,12.5
892,Developing,56.0,343.0,13.8,3.7,44.0,56.0,161.6266248,0.325,5.8
146,Developing,72.2,121.0,5.6,0.1,93.0,96.0,7875.756953,0.745,11.9
1291,Developed,81.2,65.0,58.8,0.1,96.0,97.0,3341.7482,0.856,16.0
2685,Developing,74.5,114.0,62.8,0.1,97.0,97.0,11341.13395,0.737,13.8
2718,Developing,59.3,347.0,16.7,6.8,82.0,82.0,584.3962137,0.477,10.7
1018,Developing,59.9,28.0,23.6,2.6,94.0,94.0,19.686718,0.519,9.1
2548,Developing,73.2,131.0,46.8,0.1,81.0,84.0,148.852738,0.61,10.6
1381,Developing,65.7,24.0,76.2,0.1,94.0,92.0,1763.815497,0.581,11.9
2276,Developing,73.0,134.0,53.3,0.1,88.0,96.0,3331.228766,0.72,13.1
1038,Developing,79.1,81.0,59.2,0.1,94.0,93.0,18477.57841,0.823,15.2
2393,Developing,62.9,328.0,51.1,3.6,75.0,75.0,5769.77258,0.665,13.0
641,Developed,78.0,95.0,63.7,0.1,94.0,94.0,11579.6674,0.823,15.3
1775,Developing,54.0,429.0,18.1,15.9,83.0,69.0,336.3318145,0.332,7.0
2696,Developing,74.0,143.0,53.5,0.1,85.0,85.0,4316.553895,0.641,10.7
1630,Developing,52.0,299.0,17.0,2.2,63.0,67.0,391.791281,0.318,5.2
1998,Developing,72.7,157.0,44.9,0.1,89.0,85.0,359.992184,0.654,11.9
2581,Developing,71.7,189.0,2.9,0.6,98.0,98.0,2358.93629,0.666,11.8
1202,Developing,69.1,176.0,27.4,0.3,78.0,8.0,3336.16686,0.686,12.9
560,Developing,76.1,85.0,32.9,0.1,99.0,99.0,869.211938,0.734,13.5
2302,Developing,48.1,424.0,21.7,1.6,86.0,84.0,45.128418,0.384,8.7
675,Developed,81.0,54.0,59.2,0.1,99.0,99.0,2797.96736,0.85,13.8
1127,Developing,36.3,682.0,44.2,1.9,66.0,66.0,662.2795182,0.47,8.6
461,Developing,77.0,148.0,22.6,0.8,91.0,92.0,1373.515636,0.569,11.3
2146,Developing,64.9,321.0,55.0,0.3,97.0,98.0,412.372294,0.741,13.6
2734,Developing,75.0,24.0,59.0,0.2,5.0,54.0,3569.75727,0.734,14.9
1734,Developing,75.8,19.0,6.7,0.1,94.0,94.0,7186.429787,0.799,15.1
2835,Developing,67.6,185.0,38.1,0.4,96.0,94.0,654.2838373,0.626,11.8
2657,Developing,69.7,187.0,39.3,0.7,88.0,9.0,1653.1844,0.76,12.4
1805,Developing,57.0,431.0,28.7,19.2,86.0,74.0,3881.29535,0.57,11.4
747,Developed,78.1,92.0,55.0,0.1,93.0,93.0,48799.8237,0.897,16.6
366,Developing,71.0,179.0,44.5,0.1,98.0,99.0,3146.95177,0.685,14.3
1324,Developed,82.0,69.0,24.4,0.1,98.0,95.0,37217.64873,0.87,14.9
1204,Developing,68.7,181.0,25.6,0.3,85.0,86.0,362.663981,0.677,12.9
2507,Developed,81.9,57.0,58.5,0.1,98.0,98.0,6283.24522,0.904,15.8
2602,Developing,68.0,155.0,17.0,0.1,77.0,76.0,1153.51578,0.612,12.5
2822,Developing,75.4,121.0,57.0,0.1,91.0,91.0,3622.52284,0.747,15.0
843,Developing,54.8,337.0,2.5,5.3,4.0,52.0,12732.2759,0.569,9.0
2817,Developing,76.4,119.0,6.1,0.1,94.0,94.0,962.312164,0.77,15.7
122,Developed,81.0,67.0,61.5,0.1,92.0,92.0,3416.71483,0.91,20.3
417,Developing,59.1,297.0,18.2,0.7,95.0,95.0,312.7489794,0.404,10.6
2433,Developed,89.0,72.0,61.7,0.1,96.0,96.0,3279.414,0.849,16.0
1369,Developing,57.9,339.0,17.9,6.4,88.0,88.0,916.8992515,0.506,10.4
1951,Developing,64.2,179.0,19.5,0.1,78.0,77.0,873.772727,0.501,6.5
2213,Developing,76.0,174.0,67.4,0.1,86.0,85.0,1631.41727,0.653,12.1
1832,Developed,81.1,62.0,6.5,0.1,97.0,97.0,49474.7561,0.921,18.1
1633,Developing,49.8,37.0,15.6,2.5,43.0,53.0,269.3483829,0.291,4.4
294,Developing,67.4,232.0,19.5,0.4,93.0,93.0,177.234497,0.0,10.9
374,Developing,76.8,88.0,35.2,0.1,99.0,99.0,27965.4754,0.841,14.1
2020,Developing,72.6,144.0,46.7,0.4,95.0,95.0,259.192958,0.686,13.9
1271,Developing,81.7,61.0,63.0,0.1,95.0,95.0,3661.994,0.878,15.7
521,Developing,46.3,56.0,18.6,10.0,51.0,47.0,347.673678,0.323,6.0
1517,Developing,71.5,141.0,55.3,0.1,97.0,97.0,586.8364,0.747,15.9
378,Developing,76.2,92.0,31.2,0.1,94.0,93.0,2612.13345,0.834,14.1
1968,Developing,76.2,125.0,51.1,0.1,88.0,98.0,5348.518399,0.744,12.9
685,Developed,78.5,66.0,54.3,0.1,98.0,98.0,2293.4789,0.815,13.0
93,Developing,74.1,138.0,55.1,0.1,93.0,94.0,2579.193168,0.776,16.3
2606,Developing,66.9,163.0,15.5,0.1,72.0,72.0,849.8626972,0.599,12.4
467,Developing,67.4,186.0,17.6,0.3,86.0,84.0,95.244132,0.54,10.7
1751,Developing,73.6,99.0,55.5,0.1,99.0,99.0,294.746728,0.623,11.6
2503,Developing,47.1,568.0,26.3,48.8,84.0,87.0,1437.634951,0.506,9.3
842,Developing,55.0,339.0,2.9,5.9,41.0,54.0,15761.83913,0.587,9.0
638,Developing,78.3,99.0,47.3,0.1,94.0,94.0,462.14965,0.712,11.9
2207,Developing,72.5,146.0,71.4,0.1,26.0,54.0,359.82223,0.688,12.9
399,Developed,71.1,163.0,57.0,0.1,93.0,94.0,169.28586,0.709,12.9
2624,Developing,56.2,344.0,2.4,4.8,81.0,8.0,513.391914,0.441,10.1
1304,Developing,74.7,142.0,49.7,0.6,9.0,9.0,4293.383274,0.721,12.7
904,Developing,68.9,23.0,58.0,0.1,99.0,99.0,3369.48247,0.704,14.5
2676,Developing,74.0,15.0,51.4,0.1,97.0,97.0,3112.83529,0.673,13.6
258,Developing,69.8,18.0,49.3,0.2,95.0,95.0,4688.538443,0.706,12.9
593,Developing,63.2,23.0,23.7,0.8,87.0,87.0,852.954379,0.497,11.1
2437,Developed,79.4,83.0,59.3,0.1,98.0,99.0,21495.7741,0.83,15.6
1645,Developed,78.7,69.0,64.5,0.1,89.0,89.0,1519.5497,0.797,14.2
144,Developing,72.7,118.0,52.5,0.1,96.0,98.0,55.31382,0.758,12.7
1351,Developing,67.8,236.0,49.2,0.1,99.0,98.0,97.649972,0.763,14.5
887,Developing,61.8,261.0,15.6,1.7,61.0,69.0,341.39992,0.401,8.1
1126,Developing,62.3,259.0,45.3,1.5,68.0,67.0,74.9358452,0.47,8.7
859,Developing,59.7,336.0,14.3,1.4,94.0,94.0,297.828588,0.405,5.3
1212,Developing,67.2,19.0,19.0,0.1,72.0,79.0,126.928834,0.629,11.1
567,Developing,74.5,97.0,26.5,0.1,97.0,99.0,3471.247547,0.672,11.9
380,Developing,76.0,89.0,29.1,0.1,92.0,99.0,18555.56649,0.823,13.4
1806,Developing,55.1,477.0,27.9,22.1,86.0,86.0,3573.146387,0.565,11.6
1319,Developed,83.0,62.0,26.9,0.1,97.0,98.0,4457.67639,0.879,15.1
451,Developing,72.7,121.0,29.0,0.3,94.0,94.0,348.482762,0.636,13.2
1284,Developed,82.3,58.0,62.6,0.1,96.0,96.0,3537.27441,0.876,16.5
1122,Developing,63.5,24.0,49.9,0.5,6.0,56.0,814.5463952,0.49,9.1
746,Developed,78.1,93.0,55.4,0.1,93.0,93.0,5226.99311,0.902,16.9
82,Developing,76.0,119.0,61.6,0.1,94.0,99.0,12976.63642,0.823,17.3
2362,Developing,68.8,183.0,49.7,0.1,88.0,94.0,29.652622,0.512,9.6
2023,Developing,68.5,211.0,25.4,0.1,6.0,79.0,2878.33837,0.679,11.7
1521,Developing,78.0,148.0,52.8,0.1,94.0,94.0,7145.628494,0.727,15.5
1205,Developing,68.5,183.0,24.7,0.3,83.0,84.0,3687.953996,0.669,12.6
1876,Developing,73.0,192.0,42.8,0.4,83.0,85.0,116.2743,0.562,10.1
760,Developing,62.0,289.0,31.3,3.3,89.0,89.0,1214.77118,0.427,5.0
2066,Developed,78.0,99.0,53.3,0.1,95.0,95.0,1845.5881,0.792,15.9
643,Developed,77.7,97.0,62.5,0.1,96.0,96.0,13574.749,0.817,14.9
1571,Developing,57.6,377.0,19.2,5.1,91.0,87.0,354.7253961,0.466,10.7
1002,Developed,79.8,82.0,58.5,0.1,96.0,95.0,41814.8191,0.898,16.6
2519,Developed,79.8,73.0,53.4,0.1,99.0,99.0,26969.24457,0.877,15.9
2728,Developing,47.7,539.0,13.3,10.8,55.0,56.0,234.984775,0.396,10.8
2201,Developing,73.8,128.0,74.3,0.1,63.0,58.0,4178.973369,0.701,12.9
85,Developing,75.5,121.0,59.8,0.1,94.0,95.0,1276.265,0.802,16.8
2084,Developing,76.4,85.0,64.1,0.1,96.0,96.0,2999.65492,0.807,12.2
912,Developing,67.8,221.0,51.2,0.1,91.0,92.0,238.891729,0.683,13.2
1139,Developing,74.5,149.0,5.2,0.3,97.0,97.0,2242.711912,0.618,11.4
2510,Developed,81.5,58.0,57.3,0.1,98.0,98.0,5276.25591,0.895,15.8
1285,Developed,82.0,6.0,62.1,0.1,97.0,96.0,34814.12436,0.877,16.6
2152,Developing,65.7,23.0,2.8,0.4,98.0,98.0,76.5699517,0.488,10.8
1055,Developing,79.0,176.0,38.8,0.1,98.0,98.0,5292.232379,0.0,14.4
1008,Developed,78.3,92.0,55.6,0.1,93.0,96.0,23687.31689,0.86,16.2
1953,Developing,63.7,183.0,18.4,0.1,65.0,65.0,649.848233,0.474,5.6
2526,Developed,82.3,57.0,55.4,0.1,95.0,96.0,74276.71842,0.92,15.4
2308,Developing,42.3,496.0,18.8,2.1,65.0,69.0,263.145817,0.332,7.6
2348,Developed,82.0,81.0,58.2,0.1,96.0,96.0,22486.47167,0.877,16.8
1761,Developing,69.5,15.0,46.5,0.1,94.0,94.0,1413.757176,0.54,8.8
1046,Developing,72.9,15.0,44.7,0.1,95.0,95.0,741.48438,0.741,15.8
558,Developing,77.3,16.0,54.7,0.1,97.0,96.0,4595.666327,0.761,13.7
2628,Developing,54.9,355.0,18.4,5.1,71.0,71.0,349.9937253,0.432,10.0
1250,Developed,81.4,64.0,62.8,0.1,95.0,95.0,6664.144,0.92,18.6
1288,Developed,81.6,61.0,6.5,0.1,96.0,96.0,36976.84512,0.868,16.3
176,Developing,76.9,69.0,63.6,0.1,98.0,98.0,22688.87824,0.823,14.5
139,Developed,79.3,86.0,52.2,0.1,83.0,83.0,36693.4262,0.841,14.7
1174,Developed,82.1,51.0,59.3,0.1,95.0,95.0,46.217,0.894,18.6
763,Developing,58.6,318.0,3.2,3.9,71.0,71.0,94.7297489,0.396,4.0
2225,Developing,65.1,217.0,24.7,1.2,97.0,98.0,894.927988,0.527,10.3
1399,Developing,74.0,86.0,68.4,0.1,98.0,98.0,38497.61696,0.79,13.5
2654,Developing,74.0,179.0,42.0,0.4,9.0,91.0,16683.94578,0.772,12.5
1282,Developed,82.7,56.0,63.6,0.1,93.0,93.0,349.14755,0.881,16.3
1676,Developing,71.8,165.0,28.6,0.1,97.0,98.0,5695.969327,0.713,13.4
1206,Developing,68.3,185.0,23.8,0.3,81.0,81.0,3634.27685,0.662,12.3
1045,Developing,73.1,146.0,45.6,0.1,97.0,98.0,7583.1872,0.744,15.8
603,Developing,59.8,269.0,18.8,0.1,76.0,73.0,616.4197236,0.0,9.5
634,Developing,78.0,16.0,51.4,0.1,89.0,89.0,5245.187372,0.727,12.6
2403,Developing,53.8,498.0,43.6,29.5,79.0,75.0,5414.634326,0.609,12.9
427,Developing,52.6,378.0,13.8,4.8,83.0,76.0,127.4296648,0.279,5.2
1797,Developing,65.9,242.0,34.9,2.2,88.0,88.0,5421.343953,0.632,11.7
877,Developing,72.3,195.0,55.2,0.1,94.0,95.0,885.465115,0.805,15.7
462,Developing,73.0,152.0,22.1,0.8,9.0,91.0,1268.884564,0.562,11.0
2262,Developing,58.4,252.0,18.3,0.7,6.0,6.0,513.26227,0.397,5.7
1488,Developing,47.8,586.0,25.4,31.2,78.0,78.0,437.819184,0.443,10.3
2165,Developing,48.6,438.0,13.7,8.1,77.0,76.0,21.569654,0.332,7.1
2660,Developing,69.4,19.0,36.8,1.0,94.0,94.0,129.51914,0.736,12.2
252,Developed,78.3,95.0,59.4,0.1,95.0,96.0,3743.95693,0.878,18.6
1274,Developing,84.0,68.0,61.6,0.1,95.0,95.0,258.637,0.872,15.7
2481,Developing,69.5,22.0,52.6,0.8,84.0,84.0,5761.39536,0.684,11.7
106,Developing,73.0,137.0,48.8,0.1,9.0,92.0,1643.758397,0.679,10.9
2760,Developing,74.5,14.0,55.0,0.1,94.0,94.0,3161.52935,0.798,12.0
513,Developing,58.0,437.0,22.1,4.5,47.0,47.0,377.132274,0.345,7.1
466,Developing,67.8,183.0,18.2,0.2,83.0,66.0,128.419568,0.546,10.8
283,Developing,56.1,285.0,2.1,2.1,72.0,74.0,583.493514,0.423,8.1
566,Developing,74.9,93.0,27.3,0.1,99.0,99.0,3838.434292,0.682,12.2
1979,Developing,62.0,285.0,45.7,1.0,72.0,69.0,177.867119,0.494,9.9
800,Developing,73.4,158.0,44.3,0.3,89.0,9.0,193.741571,0.67,12.4
300,Developing,63.3,273.0,15.5,0.2,95.0,96.0,997.7417141,0.0,8.4
395,Developed,72.2,157.0,59.1,0.1,95.0,94.0,3381.57837,0.738,13.3
2281,Developing,73.2,168.0,37.4,0.1,97.0,97.0,1539.464,0.781,14.1
1635,Developed,81.4,55.0,69.2,0.1,99.0,99.0,2618.92599,0.847,14.3
332,Developing,75.2,12.0,49.4,0.1,87.0,87.0,2214.732246,0.0,12.1
2217,Developing,67.5,19.0,3.9,0.2,96.0,96.0,1624.63963,0.565,11.2
237,Developing,67.2,262.0,55.3,0.1,99.0,99.0,1479.383142,0.687,13.6
2921,Developing,43.8,614.0,16.8,18.7,85.0,85.0,341.955625,0.418,9.6
1661,Developing,66.0,223.0,24.2,1.3,71.0,71.0,697.7451989,0.461,7.2
1916,Developed,89.0,67.0,58.5,0.1,94.0,94.0,817.77681,0.936,17.4
1099,Developing,54.4,36.0,2.7,5.6,71.0,74.0,418.94454,0.388,8.3
2078,Developing,76.8,82.0,65.2,0.1,97.0,98.0,82967.37228,0.825,11.7
1971,Developing,75.5,126.0,48.6,0.1,98.0,95.0,4267.13578,0.728,12.8
1262,Developed,78.0,82.0,53.6,0.1,86.0,86.0,4117.15532,0.87,16.8
647,Developed,76.3,19.0,6.0,0.1,96.0,96.0,14157.14416,0.803,14.2
764,Developing,58.1,326.0,29.8,4.0,64.0,64.0,864.184726,0.388,3.7
1349,Developing,69.1,214.0,5.6,0.1,99.0,98.0,12387.18982,0.774,14.7
1102,Developing,53.0,38.0,19.0,4.6,6.0,65.0,36.5718585,0.0,7.4
1012,Developing,61.9,254.0,27.3,0.9,9.0,91.0,1814.492297,0.57,11.5
1749,Developing,74.1,96.0,57.5,0.1,99.0,99.0,3154.513484,0.64,12.1
1724,Developing,65.9,26.0,43.9,0.1,95.0,99.0,1634.81431,0.661,13.0
1317,Developed,83.3,58.0,27.8,0.1,97.0,99.0,4863.47665,0.889,15.3
431,Developing,58.0,386.0,12.8,5.2,8.0,71.0,135.9984455,0.268,4.5
880,Developing,78.0,225.0,54.3,0.1,94.0,94.0,4498.95727,0.781,15.0
2736,Developing,69.2,231.0,58.0,0.3,71.0,74.0,2545.48341,0.734,14.9
1069,Developing,69.6,21.0,43.1,0.4,87.0,88.0,1872.73783,0.564,9.3
1346,Developing,72.0,198.0,53.1,0.1,98.0,98.0,159.9817,0.793,15.0
1133,Developing,58.7,32.0,37.5,4.3,55.0,58.0,387.9429725,0.45,8.1
2347,Developed,85.0,78.0,58.9,0.1,95.0,95.0,2315.31799,0.878,16.8
2307,Developing,43.3,48.0,19.2,2.2,65.0,67.0,287.6891942,0.341,7.8
2833,Developing,67.9,184.0,39.3,0.3,98.0,98.0,182.28625,0.644,11.9
2439,Developed,79.4,84.0,58.2,0.1,96.0,95.0,15323.6114,0.825,15.7
783,Developing,71.4,189.0,45.1,2.4,82.0,74.0,38.46578,0.66,12.3
1005,Developed,79.1,86.0,57.1,0.1,96.0,96.0,34165.9343,0.877,16.4
835,Developing,57.9,32.0,24.0,4.4,2.0,24.0,192.59733,0.582,9.2
899,Developing,69.7,19.0,61.9,0.1,99.0,99.0,546.3728,0.727,15.2
234,Developing,68.1,252.0,56.7,0.1,99.0,98.0,3126.71767,0.713,14.4
1267,Developing,82.2,6.0,64.6,0.1,95.0,95.0,37582.84624,0.895,16.0
413,Developing,51.0,338.0,12.9,3.2,69.0,69.0,26.7635413,0.0,3.6
198,Developing,69.5,144.0,14.6,0.1,97.0,97.0,681.125368,0.523,8.4
2930,Developing,46.6,67.0,28.2,23.7,73.0,73.0,396.9982166,0.414,9.6
1525,Developed,73.0,176.0,6.9,0.1,93.0,93.0,14341.836,0.83,16.5
2441,Developing,74.9,138.0,23.4,0.1,99.0,99.0,3844.89123,0.764,14.0
264,Developing,69.6,181.0,45.0,0.6,96.0,97.0,4324.876427,0.7,12.8
1603,Developing,78.2,62.0,26.2,0.1,99.0,99.0,7716.2415,0.693,12.7
2141,Developing,68.2,261.0,57.0,0.3,98.0,98.0,8562.89598,0.776,14.0
1841,Developed,78.7,8.0,54.2,0.1,98.0,98.0,35245.1647,0.881,16.5
2716,Developing,67.0,325.0,17.6,4.0,78.0,82.0,662.492293,0.478,10.0
536,Developing,49.4,394.0,16.1,4.9,28.0,38.0,81.683884,0.306,5.7
1278,Developing,79.7,71.0,59.6,0.1,93.0,93.0,18946.99942,0.863,16.0
1937,Developing,74.0,122.0,48.9,0.1,99.0,99.0,1129.28886,0.734,11.5
1405,Developing,73.5,91.0,65.9,0.1,98.0,98.0,26921.8278,0.791,14.4
1856,Developed,79.2,79.0,61.5,0.1,89.0,87.0,2542.39935,0.884,18.4
1142,Developing,73.9,153.0,47.6,0.4,97.0,97.0,212.584798,0.611,11.7
2079,Developing,76.7,83.0,65.1,0.1,94.0,97.0,675.61258,0.83,12.6
636,Developing,77.7,12.0,49.3,0.1,9.0,9.0,4425.57467,0.719,12.2
1115,Developing,65.2,24.0,39.6,1.1,93.0,92.0,1945.6395,0.622,11.7
2200,Developing,74.0,125.0,74.7,0.1,66.0,61.0,4149.363444,0.702,12.9
2073,Developing,77.9,7.0,67.7,0.1,97.0,99.0,8834.87958,0.843,13.4
508,Developing,79.7,78.0,6.0,0.1,91.0,88.0,28172.14883,0.877,15.8
418,Developing,58.6,33.0,17.6,1.0,96.0,96.0,282.7555252,0.398,10.5
2222,Developing,66.2,24.0,26.9,0.5,98.0,98.0,1129.754961,0.542,10.6
65,Developing,76.2,131.0,47.0,0.2,99.0,96.0,12888.29667,0.782,13.9
1326,Developed,81.9,7.0,23.4,0.1,97.0,97.0,3488.3992,0.863,14.8
1606,Developing,77.3,67.0,23.1,0.1,96.0,96.0,6497.55443,0.663,11.8
2759,Developing,74.7,11.0,56.0,0.1,94.0,94.0,31311.35936,0.803,12.1
2619,Developing,59.4,287.0,23.1,1.5,84.0,84.0,579.43485,0.47,12.0
2557,Developing,68.1,166.0,37.4,0.2,96.0,97.0,834.5412953,0.608,11.1
1914,Developed,81.1,67.0,59.4,0.1,94.0,94.0,1574.9861,0.939,17.6
1080,Developing,57.3,297.0,2.3,2.3,57.0,6.0,436.6895539,0.376,8.1
244,Developed,83.0,8.0,62.3,0.1,98.0,98.0,4772.77415,0.884,16.1
1641,Developed,80.0,64.0,66.6,0.1,72.0,72.0,21928.767,0.813,14.6
2511,Developed,81.4,62.0,56.9,0.1,98.0,98.0,4627.592,0.898,15.8
1759,Developing,72.0,142.0,48.2,0.1,97.0,97.0,1948.812275,0.561,9.6
1367,Developing,63.0,294.0,18.9,4.3,9.0,9.0,967.34773,0.523,11.1
2915,Developing,58.0,526.0,18.8,15.9,81.0,83.0,13.154199,0.479,10.9
1845,Developed,81.6,66.0,67.5,0.1,92.0,92.0,3821.8937,0.913,19.2
571,Developing,73.5,11.0,23.4,0.1,87.0,87.0,158.668462,0.622,10.2
2927,Developing,52.4,527.0,29.4,15.7,89.0,89.0,713.63562,0.436,10.0
397,Developed,71.8,157.0,58.1,0.1,93.0,94.0,287.534843,0.723,12.9
58,Developing,47.4,382.0,17.7,2.6,38.0,39.0,1443.991929,0.426,6.8
883,Developing,64.2,234.0,17.2,0.6,77.0,75.0,571.1622759,0.435,8.4
231,Developing,70.0,224.0,58.2,0.1,97.0,98.0,6376.183153,0.755,15.1
1156,Developed,75.5,139.0,63.6,0.1,99.0,99.0,13613.6147,0.824,15.4
2014,Developing,73.9,138.0,5.8,0.3,93.0,93.0,428.87811,0.7,13.2
449,Developing,73.0,117.0,3.5,0.2,95.0,95.0,3529.61843,0.643,13.5
2816,Developing,76.6,118.0,6.7,0.1,95.0,95.0,9415.17386,0.774,15.5
1452,Developed,76.0,216.0,57.0,0.1,99.0,99.0,7558.7426,0.791,15.9
1791,Developing,63.5,228.0,15.7,0.5,82.0,92.0,219.8156688,0.455,7.8
1918,Developed,85.0,67.0,57.5,0.1,93.0,93.0,85128.65759,0.934,17.6
2249,Developing,66.7,188.0,24.3,0.3,89.0,85.0,98.7256145,0.491,9.5
1908,Developing,47.1,45.0,16.9,4.9,29.0,31.0,379.1193264,0.0,7.6
2050,Developed,74.9,143.0,55.0,0.1,99.0,99.0,6681.178818,0.8,15.5
1312,Developing,72.7,171.0,42.5,2.2,99.0,99.0,3394.878,0.68,10.9
2757,Developing,75.1,95.0,57.0,0.1,94.0,94.0,36161.1761,0.813,12.4
1949,Developing,64.6,177.0,2.6,0.1,62.0,7.0,139.31288,0.513,7.3
2134,Developed,77.0,175.0,51.4,0.1,99.0,99.0,1668.162731,0.703,11.5
53,Developing,49.6,365.0,2.4,2.5,77.0,81.0,3529.53482,0.488,9.0
745,Developed,78.4,93.0,55.9,0.1,87.0,87.0,58487.451,0.904,16.7
678,Developed,79.5,59.0,57.8,0.1,99.0,99.0,3818.46396,0.853,14.6
350,Developing,46.7,679.0,3.5,37.2,97.0,97.0,3128.97793,0.56,11.8
1034,Developing,79.4,8.0,61.8,0.1,99.0,99.0,28827.32636,0.855,16.4
1911,Developed,81.6,61.0,6.8,0.1,93.0,93.0,975.49856,0.945,17.7
2295,Developing,72.0,187.0,27.6,0.1,96.0,96.0,7663.1378,0.714,12.2
957,Developing,59.7,322.0,3.3,11.1,45.0,44.0,5685.577736,0.64,12.3
2501,Developing,45.9,6.0,27.1,50.6,85.0,87.0,22.99449,0.493,9.1
992,Developing,73.0,121.0,46.5,0.1,87.0,83.0,733.974142,0.673,11.7
152,Developing,73.0,14.0,45.9,0.1,79.0,81.0,3851.437869,0.708,11.6
998,Developed,85.0,74.0,6.4,0.1,95.0,94.0,4681.32796,0.912,16.8
2572,Developing,74.3,154.0,3.1,0.1,99.0,99.0,5859.915622,0.729,13.7
882,Developing,64.8,225.0,17.6,0.6,77.0,75.0,645.4637627,0.441,8.4
1453,Developed,71.0,26.0,56.6,0.1,99.0,99.0,6351.8125,0.776,15.5
2509,Developed,81.7,58.0,57.7,0.1,98.0,98.0,59593.28711,0.901,16.0
1579,Developing,47.1,587.0,16.2,21.1,99.0,99.0,297.6971211,0.377,9.6
267,Developing,68.7,197.0,43.2,0.8,97.0,97.0,3831.53819,0.691,12.5
2002,Developing,71.9,165.0,42.0,0.2,92.0,92.0,148.527976,0.639,12.1
36,Developing,74.9,116.0,55.0,0.1,95.0,95.0,5432.2523,0.724,14.0
1542,Developed,88.0,72.0,59.6,0.1,99.0,96.0,115761.577,0.894,13.9
1032,Developing,80.0,78.0,63.1,0.1,99.0,99.0,2971.973,0.857,16.2
1072,Developing,68.4,211.0,41.1,0.3,77.0,78.0,1568.376276,0.546,8.5
103,Developing,73.2,14.0,5.1,0.1,89.0,91.0,41.26997,0.721,12.3
683,Developed,78.7,65.0,55.3,0.1,98.0,98.0,25324.48666,0.826,13.5
1771,Developing,53.2,45.0,19.7,12.6,75.0,74.0,53.127719,0.372,8.8
1662,Developing,64.0,224.0,23.6,1.3,7.0,68.0,62.547286,0.451,6.7
1393,Developing,64.1,222.0,67.9,0.1,9.0,9.0,796.7937634,0.0,10.0
365,Developing,71.4,176.0,45.3,0.1,99.0,99.0,2819.649531,0.692,14.6
471,Developing,65.6,199.0,15.3,0.7,91.0,91.0,745.7877873,0.511,10.5
1024,Developing,57.4,39.0,2.1,3.5,79.0,81.0,273.6596668,0.485,8.0
72,Developing,75.0,144.0,42.6,0.1,99.0,98.0,14252.29452,0.781,14.5
73,Developing,74.8,145.0,42.0,0.1,99.0,99.0,12724.39377,0.773,14.7
1400,Developing,73.9,87.0,67.9,0.1,99.0,99.0,37567.3121,0.788,13.6
2923,Developing,59.2,371.0,31.3,6.3,91.0,92.0,127.47462,0.498,10.3
2473,Developing,71.6,176.0,58.3,0.4,89.0,89.0,8818.982566,0.723,12.7
1933,Developing,75.2,19.0,51.1,0.1,99.0,97.0,2275.3536,0.765,11.9
2356,Developed,77.2,113.0,53.5,0.1,94.0,94.0,1726.9151,0.85,16.6
2913,Developing,55.7,45.0,19.7,11.9,87.0,9.0,1369.68249,0.504,11.4
1169,Developed,71.7,193.0,56.1,0.1,99.0,99.0,4623.46712,0.761,13.9
363,Developing,72.0,17.0,46.9,0.1,99.0,99.0,3623.47667,0.695,14.0
2351,Developed,79.1,9.0,56.4,0.1,96.0,96.0,24633.79785,0.873,16.9
344,Developing,56.9,436.0,33.7,13.4,96.0,96.0,5714.47937,0.63,12.1
2845,Developing,71.4,138.0,5.8,0.1,64.0,65.0,3158.58688,0.592,10.8
1377,Developing,51.9,428.0,14.4,18.1,82.0,8.0,43.9797132,0.448,8.4
625,Developing,79.6,95.0,6.5,0.1,92.0,92.0,1146.36273,0.775,14.2
322,Developing,77.0,9.0,54.7,0.1,89.0,87.0,535.86555,0.735,14.2
2536,Developed,79.7,78.0,5.8,0.1,93.0,95.0,37813.23426,0.879,15.1
47,Developing,71.3,145.0,44.4,0.1,86.0,86.0,1757.17797,0.636,10.7
2402,Developing,54.0,496.0,44.3,28.1,82.0,79.0,5631.73485,0.609,12.9
1068,Developing,69.2,28.0,43.8,0.4,87.0,87.0,277.83438,0.567,9.6
1527,Developed,72.4,188.0,6.0,0.1,95.0,95.0,11984.86857,0.824,16.8
2058,Developed,83.0,81.0,59.5,0.1,98.0,98.0,2577.4264,0.824,16.3
1772,Developing,52.1,425.0,19.3,14.1,75.0,75.0,422.1461573,0.36,8.2
1873,Developing,76.0,198.0,44.9,0.3,86.0,86.0,115.565314,0.583,11.0
